Signal,m,tau,run,N_eff,M_mean,D_local,TE_fwd
gaussian_white_noise,1,1,0,1000,0.07923671535001464,1.1355541578232564,0.0
gaussian_white_noise,1,1,1,1000,0.10121952367432918,1.1173959682932568,0.0
gaussian_white_noise,1,1,2,1000,0.011747626083157492,1.1438789339865876,0.0
gaussian_white_noise,1,1,3,1000,0.08150732846513709,1.1218327554437235,0.008462632434553363
gaussian_white_noise,1,1,4,1000,0.06843367555807145,1.1207379454604263,0.0
gaussian_white_noise,1,1,5,1000,0.0732589741024885,1.128664991999977,0.0
gaussian_white_noise,1,1,6,1000,0.04149286505280525,1.118589385989644,0.0
gaussian_white_noise,1,1,7,1000,0.11393552716724908,1.1287972209711912,0.0
gaussian_white_noise,1,1,8,1000,0.05738597791227118,1.1452616118324164,0.0
gaussian_white_noise,1,1,9,1000,0.04488176789524445,1.1391734469155566,0.0
gaussian_white_noise,1,1,10,1000,0.0494449689262666,1.1192497188835733,0.0
gaussian_white_noise,1,1,11,1000,0.09289191705143285,1.1440114329195463,0.036271360202512426
gaussian_white_noise,1,1,12,1000,0.08262664624592464,1.1400208363812003,0.0
gaussian_white_noise,1,1,13,1000,0.009647201183296872,1.1293350002064662,0.0
gaussian_white_noise,1,1,14,1000,0.10497829872027786,1.1206955536804823,0.0
gaussian_white_noise,1,1,15,1000,0.04028339449757734,1.1182489811399443,0.0
gaussian_white_noise,1,1,16,1000,0.08509324558543607,1.121536447260526,0.001045958782372125
gaussian_white_noise,1,1,17,1000,0.13230176902438817,1.1126652897984828,0.009427171955272318
gaussian_white_noise,1,1,18,1000,0.08981863955385894,1.1357637817881487,0.022702569019438457
gaussian_white_noise,1,1,19,1000,0.06284381158780583,1.1214431447293813,0.02917724345064876
gaussian_white_noise,1,1,20,1000,0.02873538038249457,1.1213889181188466,0.0
gaussian_white_noise,1,1,21,1000,0.05081131142612172,1.1122470990989926,0.0
gaussian_white_noise,1,1,22,1000,0.04525335890087323,1.1460226167702074,0.0
gaussian_white_noise,1,1,23,1000,0.03458208914581551,1.1263890298175185,0.0017537811626162636
gaussian_white_noise,1,1,24,1000,0.07186918130486841,1.1390579691979437,0.0
gaussian_white_noise,1,1,25,1000,0.12766609103915094,1.1502674731901765,0.03822528630407085
gaussian_white_noise,1,1,26,1000,0.07857839435941383,1.139529494346199,0.007157448217955498
gaussian_white_noise,1,1,27,1000,0.04549391865980912,1.1321659490569345,0.0
gaussian_white_noise,1,1,28,1000,0.09354499234019009,1.138027100211383,0.02308088007384379
gaussian_white_noise,1,1,29,1000,0.13093061920590898,1.108989375803424,0.0032240739329334467
gaussian_white_noise,1,1,30,1000,0.07366200327456962,1.1111241052413707,0.0
gaussian_white_noise,1,1,31,1000,0.06924352099436071,1.1301169021258155,0.0
gaussian_white_noise,1,1,32,1000,0.05422047100592575,1.1273218735150903,0.034158811374670695
gaussian_white_noise,1,1,33,1000,0.08104365021342641,1.1347940519521507,0.0
gaussian_white_noise,1,1,34,1000,0.1201435235986903,1.126454722844915,0.0093518649154114
gaussian_white_noise,1,1,35,1000,0.05149887223765681,1.1274549813074823,0.0
gaussian_white_noise,1,1,36,1000,0.07666294094774351,1.1263647253698008,0.06657043833225984
