engine,phase,representation,dim,M,D_local,TE_forward,TE_reverse,CMI
1,Early,Raw,3,0.03918560308765073,3.472192446538132,0.043695746489813114,0.009494577491928613,0.0
1,Early,Rolling,3,1.0783393019636542,3.0053871608936533,0.0,0.0,0.3225095033273737
1,Early,PCA-2,2,0.04022075146458226,2.497925910818429,0.0,0.0,nan
1,Early,PCA-1,1,0.04022075146458226,1.166209028673281,nan,nan,nan
1,Late,Raw,3,0.11605589620608292,3.4262302107164957,0.0,0.0919273524102997,0.0
1,Late,Rolling,3,5.334197909994463,2.148911496528491,0.0,0.06177802438883262,0.23195302307491206
1,Late,PCA-2,2,3.499214989268139,2.288417821995098,0.008492242367354574,0.11332771756625837,nan
1,Late,PCA-1,1,3.499214989268139,1.1978048367024707,nan,nan,nan
2,Early,Raw,3,0.12745765491040073,3.3099183042548197,0.0,0.0,0.0
2,Early,Rolling,3,1.832947103395568,3.172601730701642,0.012662841748659392,0.0,0.12077036667392882
2,Early,PCA-2,2,0.1690797765638714,2.2781757851206703,0.0001654297286219908,0.0,nan
2,Early,PCA-1,1,0.1690797765638714,1.1348264519742863,nan,nan,nan
2,Late,Raw,3,6.506184826962436,3.119746679731831,0.007773741553811941,0.00718481871505583,0.3555655704590932
2,Late,Rolling,3,16.08595701941548,1.9424622372214015,0.0,0.03988996155824198,1.0779574221856274
2,Late,PCA-2,2,8.43387099473273,2.2286625117857524,0.0,0.009199921126322064,nan
2,Late,PCA-1,1,8.43387099473273,1.2207813574209498,nan,nan,nan
3,Early,Raw,3,0.1266708809644319,3.2783649525766005,0.024166755033383946,0.0,0.011824032528877204
3,Early,Rolling,3,3.903294914588019,2.368920731084121,0.0,0.07451358378697082,0.09509525989259515
3,Early,PCA-2,2,0.03249443658680207,2.407116283042359,0.036006596937488755,0.07404719807206339,nan
3,Early,PCA-1,1,0.03249443658680207,1.2411135431708589,nan,nan,nan
3,Late,Raw,3,11.244770506271784,2.4949589884127454,0.03961907055163927,0.0,0.12180120052302801
3,Late,Rolling,3,15.012407789689725,1.3950688240892584,0.11508204833587454,0.0,0.4630869434144147
3,Late,PCA-2,2,11.56069307580671,1.9166360271956817,0.09754364647005342,0.0,nan
3,Late,PCA-1,1,11.56069307580671,1.1016987423018865,nan,nan,nan
4,Early,Raw,3,0.15148432675434576,3.3346141926582122,0.014640257467682716,0.06303334133746485,0.0
4,Early,Rolling,3,6.613626146781257,2.6518736318664398,0.0,0.0,0.5930552875724606
4,Early,PCA-2,2,0.12818889332776573,2.5428121860164663,0.0,0.0,nan
4,Early,PCA-1,1,0.12818889332776573,1.240571586749438,nan,nan,nan
4,Late,Raw,3,11.083062815948484,2.513495033818825,0.0,0.05504365788668597,0.3310293886857618
4,Late,Rolling,3,16.25014106348261,1.4016283294524612,0.0677295707722747,0.0,0.6011813811815774
4,Late,PCA-2,2,11.258012347008716,1.9021721185101095,0.05860506680063793,0.03851719736680703,nan
4,Late,PCA-1,1,11.258012347008716,1.1565468525751446,nan,nan,nan
5,Early,Raw,3,0.08825567829993197,3.4687779071559177,0.0030135272291507142,0.06026470840330811,0.0
5,Early,Rolling,3,2.670923357352686,2.7448958252911555,0.0,0.0,0.25419602472477365
5,Early,PCA-2,2,0.08578123099346957,2.37021457743818,0.0,0.041492596551612415,nan
5,Early,PCA-1,1,0.08578123099346957,1.1444921120682026,nan,nan,nan
5,Late,Raw,3,9.263748467138793,2.9350546474737547,0.2049409239625004,0.0,0.44633157238431
5,Late,Rolling,3,15.37729993734601,1.8918492589246265,0.052110077014411615,0.052869429978094296,0.6796229531979945
5,Late,PCA-2,2,10.113963201443092,2.0796713205721726,0.0,0.0,nan
5,Late,PCA-1,1,10.113963201443092,1.1098886790776306,nan,nan,nan
6,Early,Raw,3,0.18169614496672049,2.9845913707805978,0.0,0.08278559211868952,0.027113368543411287
6,Early,Rolling,3,0.7694795828015644,3.182086218787755,0.03799110774758674,0.0377220057118004,0.0
6,Early,PCA-2,2,0.21723358933221526,2.3225627638289956,0.0,0.0,nan
6,Early,PCA-1,1,0.21723358933221526,1.1843559854234813,nan,nan,nan
6,Late,Raw,3,0.47700467298856797,3.319686398055719,0.0,0.20494667591369753,0.17609339478764907
6,Late,Rolling,3,5.3635551325830555,1.8364358903120293,0.07772772949894602,0.04394650740835537,0.4500906315850197
6,Late,PCA-2,2,2.949521922003315,2.3612797582789478,0.0,0.1444020475365777,nan
6,Late,PCA-1,1,2.949521922003315,1.219764437811603,nan,nan,nan
7,Early,Raw,3,0.24536338696907656,3.1791889742708275,0.09471420583786339,0.0,0.0
7,Early,Rolling,3,1.2744576228556328,2.8374095496118805,0.06441584181223536,0.19153411382491736,0.2502400347225229
7,Early,PCA-2,2,0.07459225184688867,2.2868848834995408,0.03153855733819366,0.0,nan
7,Early,PCA-1,1,0.07459225184688867,1.1641570490451574,nan,nan,nan
7,Late,Raw,3,0.17159390637213034,3.3615477183438096,0.0,0.0,0.05535793737666639
7,Late,Rolling,3,3.1138548846252543,2.2462102593463515,0.01645253624308296,0.21273021601883535,0.04272129613810938
7,Late,PCA-2,2,3.2417587559263783,2.43780579395351,0.0,0.10670986744718602,nan
7,Late,PCA-1,1,3.2417587559263783,1.1775094446777736,nan,nan,nan
8,Early,Raw,3,0.035517949547314576,3.131867912423797,0.044278262214366926,0.0,0.0
8,Early,Rolling,3,1.5903600568663352,2.9204861290888537,0.055327518627730665,0.0,0.0
8,Early,PCA-2,2,0.021787542550604666,2.3581709058510376,0.0,0.0,nan
8,Early,PCA-1,1,0.021787542550604666,1.1686692535650187,nan,nan,nan
8,Late,Raw,3,0.12505286912471014,3.37155078615626,0.0,0.005712811587816891,0.0
8,Late,Rolling,3,2.1917404458059986,1.9584391650884572,0.0,0.21922191207406927,0.2545502413692189
8,Late,PCA-2,2,1.4907050257024368,2.3572632269119826,0.005124597874818448,0.10655233320926394,nan
8,Late,PCA-1,1,1.4907050257024368,1.1004612147284025,nan,nan,nan
9,Early,Raw,3,0.0797769704890432,3.5053053562585386,0.17498535726810438,0.0,0.0
9,Early,Rolling,3,1.7507351634834336,2.848419024684897,0.0,0.0,0.06448632081163641
9,Early,PCA-2,2,0.10109193312692799,2.390065331078709,0.0,0.0,nan
9,Early,PCA-1,1,0.10109193312692799,1.2002334708059692,nan,nan,nan
9,Late,Raw,3,11.933994676437354,2.541921745251936,0.0,0.0,0.730301225498315
9,Late,Rolling,3,16.370428609362747,1.4010769749737753,0.0,0.017333467258816793,0.7537445656198263
9,Late,PCA-2,2,12.201887943278711,1.9471929502827834,0.02489747901730155,0.0,nan
9,Late,PCA-1,1,12.201887943278711,1.1264329383713363,nan,nan,nan
10,Early,Raw,3,0.16701921237923756,3.3358304094556277,0.02992957975212418,0.01571919853676018,0.05690782803927252
10,Early,Rolling,3,4.040874257173659,2.197763728525572,0.0,0.0639443256179848,0.4629257893066909
10,Early,PCA-2,2,0.022603777412222748,2.504067722368469,0.03741483433251469,0.0019416722529221886,nan
10,Early,PCA-1,1,0.022603777412222748,1.186590242315744,nan,nan,nan
10,Late,Raw,3,6.759374070760565,3.013135041861782,0.23462251486507046,0.11335142654815833,0.32437621125034477
10,Late,Rolling,3,13.783683221407395,1.7209637107935687,0.07627292213958592,0.033076427847360534,0.2833915472990616
10,Late,PCA-2,2,7.417343346437644,2.215180621752004,0.0524030097744026,0.0,nan
10,Late,PCA-1,1,7.417343346437644,1.1466132215221891,nan,nan,nan
11,Early,Raw,3,0.11530634858897715,3.5821678410728195,0.0,0.0,0.04285262768783982
11,Early,Rolling,3,1.989196203615987,3.04102176213473,0.059614250091072574,0.0,0.061279775767222766
11,Early,PCA-2,2,0.09938478586725985,2.233182667303114,0.0,0.0010368141690495492,nan
11,Early,PCA-1,1,0.09938478586725985,1.101718569305348,nan,nan,nan
11,Late,Raw,3,10.695533141418922,2.793880471425735,0.0,0.0,0.2986698405615251
11,Late,Rolling,3,16.475635569581055,1.596953770863175,0.0,0.0,0.06472681417082349
11,Late,PCA-2,2,11.468443124360501,1.9428670316404761,0.10865191357635862,0.021534067327431572,nan
11,Late,PCA-1,1,11.468443124360501,1.0143363207272829,nan,nan,nan
12,Early,Raw,3,0.04630082260485535,3.175872332866898,0.0,0.09060413974470016,0.0
12,Early,Rolling,3,2.3493560200251844,3.089175543415787,0.0,0.04883224453685564,0.0
12,Early,PCA-2,2,0.012683488257475783,2.3442214603126224,0.0,0.11232324794175907,nan
12,Early,PCA-1,1,0.012683488257475783,1.3086155720652113,nan,nan,nan
12,Late,Raw,3,0.10649489073706908,3.043625278527606,0.0,0.0,0.027599394560970936
12,Late,Rolling,3,1.5185396145082457,2.250659553646084,0.11564601100048222,0.36130185961957784,0.4076430941649747
12,Late,PCA-2,2,1.0916257639087492,2.350735628656494,0.0,0.0,nan
12,Late,PCA-1,1,1.0916257639087492,1.0816544588260322,nan,nan,nan
13,Early,Raw,3,0.18402601458726364,3.355010925643399,0.0,0.030904406838808463,0.0
13,Early,Rolling,3,1.1191147298684587,2.6105952919001534,0.029673619437007304,0.02244875633017962,0.0
13,Early,PCA-2,2,0.13903952978470224,2.1569645946645988,0.0,0.12063639036001206,nan
13,Early,PCA-1,1,0.13903952978470224,1.1089613754355416,nan,nan,nan
13,Late,Raw,3,9.251981284830057,2.5626798051248403,0.04589678213329451,0.0,0.29623203704855383
13,Late,Rolling,3,13.604668496972135,1.4814190950507746,0.0,0.11044102696018143,0.6388846341750081
13,Late,PCA-2,2,9.560787012304363,1.8909095784520662,0.0,0.0,nan
13,Late,PCA-1,1,9.560787012304363,1.147882064166792,nan,nan,nan
14,Early,Raw,3,0.04165038484316996,3.697768821989483,0.0,0.0,0.0
14,Early,Rolling,3,1.7931664468542938,3.079707889152348,0.06417608025706034,0.0,0.053500394183471744
14,Early,PCA-2,2,0.028885885475584683,2.621458970773164,0.056117453014306484,0.0,nan
14,Early,PCA-1,1,0.028885885475584683,1.1672465458318537,nan,nan,nan
